takeoff_name,takeoff_lat,takeoff_lon,telegram_group_name,telegram_group_link,exclude,notes,site_guide
Aberfoyle,56.18777,-4.40283,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,,,
Abernant,51.76015,-3.89551,South Wales,https://t.me/joinchat/ksosguoLjyI0ZGFk,,,
Abernethy,56.32487,-3.32118,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,,,
Abington,55.50938,-3.67677,Borders,https://t.me/joinchat/gQNkjnuA51IwOTg0,,,
Achnasheen,57.543075,-5.13001,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,,,
Afton,50.67099,-1.47991,Isle of Wight,https://t.me/joinchat/tSmGEGKwsGpkMTg0,,,https://flywight.extremelynice.net/wp/wp-content/uploads/2017/03/iowhgpc-sites-guide_2019_03.pdf
Airways,52.972635,-1.749035,Central,https://t.me/joinchat/5iHr6hnc-gI4MDg0,TRUE,Tow site,
Alcock Tarn,54.46255,-3.00033,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,,,
Alva,56.161185,-3.8059,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,,,
Alvie,57.160375,-3.92057,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,,,
An Liathanach,57.56736,-5.099635,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,,,
An Soutar,57.36645,-4.89483,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,,,
An Teallach,57.79052,-5.2443,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,,,
Aonach Mor,56.842215,-4.97029,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,,,
Arenig Fawr,52.91723,-3.7519,North Wales,https://t.me/joinchat/tP6m0r9gNJJmOTM8,,,https://www.snowdoniaskysports.co.uk/cms/node/19
Arreton,50.681125,-1.2274,Isle of Wight,https://t.me/joinchat/tSmGEGKwsGpkMTg0,,,
Dragons Tail (Y Crib),51.972375,-3.1702,South Wales,https://t.me/joinchat/ksosguoLjyI0ZGFk,,,
Gordies Pike,54.516775,-3.22876,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,,,
Gummers How,54.28817,-2.93962,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,,,
Lord Herefords Kno,52.00996,-3.12255,South Wales,https://t.me/joinchat/ksosguoLjyI0ZGFk,,,
Meall Amhadaidh,56.395415,-4.2764,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,,,
Suidh A Mhinn,57.63479,-6.35319,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,,,
Tap Onoth,57.3503,-2.85748,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,,,
Bache,52.2653,-3.142735,Mid Wales & Mynd,https://t.me/joinchat/RuC0kVJ1ygY2OTY8,TRUE,Site guide lists as closed,https://paraglidingwales.co.uk/bache-hill/
Backbarrow,54.44115,-3.343665,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,,,
Balladen,53.68761,-2.27285,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,,,http://www.penninesoaringclub.org.uk/sites/balladen/
Ballard Down,50.63087,-1.94635,West,https://t.me/joinchat/xxEzm4aeX6dhNTJk,,,http://www.wessexhgpg.org.uk/Sites/Siteguide/FullSiteGuide.pdf
Balquhidder,56.36606,-4.34925,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,,,
Balquhider,56.358235,-4.42514,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,,,
Bank Hill,56.17283,-3.686185,Borders,https://t.me/joinchat/gQNkjnuA51IwOTg0,,,
Barf,54.62967,-3.2179,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,,,
Barkin,54.276305,-2.498085,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,,,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=BKF
Barton Fell,54.58517,-2.82593,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,,,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=BRF
Barton On Sea,50.73524,-1.65853,West,https://t.me/joinchat/xxEzm4aeX6dhNTJk,,,http://www.wessexhgpg.org.uk/Sites/Siteguide/FullSiteGuide.pdf
Batcombe,50.84403,-2.51013,West,https://t.me/joinchat/xxEzm4aeX6dhNTJk,,,
Beardown,50.57238,-3.96795,South West,https://t.me/joinchat/yg6UPwjHlFNhOGVk,,,
Beeftub,55.40067,-3.49012,Borders,https://t.me/joinchat/gQNkjnuA51IwOTg0,,,
Beer Head,50.68713,-3.10112,South West,https://t.me/joinchat/yg6UPwjHlFNhOGVk,,,
Beinn A'chait,56.84425,-3.862515,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,,,
Beinn A Chaorainn,56.918,-4.65657,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,,,
Beinn A Muice,57.41789,-4.951625,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,,,
Beinn Dorain,56.51697,-4.72987,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,,,
Beinn Eighe,57.58387,-5.38462,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,,,
Beinn Leabhainn,56.42644,-4.32405,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,,,
Beinn Lutharn Bheag,56.89547,-3.53437,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,,,
Beinn Na Feusaige,57.53746,-5.18294,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,,,
Beinn Narnain,56.218045,-4.78079,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,,,
Bell Hill,50.8761,-2.28855,West,https://t.me/joinchat/xxEzm4aeX6dhNTJk,,,http://www.wessexhgpg.org.uk/Sites/SiteGuide/BellHill.pdf
Belstone,50.69908,-3.96592,South West,https://t.me/joinchat/yg6UPwjHlFNhOGVk,,,https://sdhgpc.org.uk/sites/belstone
Ben Gulabin,56.8306,-3.4723,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,,,
Ben Hiel,58.416055,-4.398025,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,,,
Ben Lawers,56.5277,-4.24297,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,,,
Ben Ledi,56.25059,-4.30922,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,,,
Ben Luibhean,56.22953,-4.84298,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,,,
Ben More,56.385595,-4.542525,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,,,
Ben Nevis,56.79638,-5.00398,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,,,
Ben Reid,56.860225,-3.118025,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,,,
Ben Rinnes,57.403135,-3.239035,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,,,
Ben Tirran,56.84645,-3.03435,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,,,
Ben Toaig,56.559805,-4.83574,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,,,
Ben Uarie,58.12663,-3.81967,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,,,
Ben Vorlich,56.366585,-4.245115,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,,,
Ben Wyvis,57.682625,-4.55451,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,,,
Bewaldeth,54.714535,-3.22439,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,,,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=BWD
Bin Of Cullen,57.66573,-2.87393,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,,,
Birks Hill,55.58999,-3.13455,Borders,https://t.me/joinchat/gQNkjnuA51IwOTg0,,,
Bishop,56.21678,-3.31957,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,,,
